[21:57:42] [INFO] received Windows console close event; shutting log-core down
[22:10:39] [INFO] received Windows console close event; shutting log-core down
[22:19:02] [INFO] received Windows console close event; shutting log-core down
[22:24:18] [INFO] received Windows console close event; shutting log-core down
[14:24:31] [INFO] received Windows console close event; shutting log-core down
[14:33:55] [INFO] received Windows console close event; shutting log-core down
[14:34:27] [INFO] received Windows console close event; shutting log-core down
[14:35:25] [INFO] received Windows console close event; shutting log-core down
[14:38:14] [INFO] received Windows console close event; shutting log-core down
[14:40:53] [INFO] received Windows console close event; shutting log-core down
[14:41:23] [INFO] received Windows console close event; shutting log-core down
[14:41:36] [INFO] received Windows console close event; shutting log-core down
[14:55:51] [INFO] received Windows console close event; shutting log-core down
[17:55:20] [INFO] received Windows console close event; shutting log-core down
[17:59:12] [INFO] received Windows console close event; shutting log-core down
[18:01:26] [INFO] received Windows console close event; shutting log-core down
[18:02:37] [INFO] received Windows console close event; shutting log-core down
[18:08:22] [INFO] received Windows console close event; shutting log-core down
[18:10:22] [INFO] received Windows console close event; shutting log-core down
[18:19:34] [INFO] received Windows console close event; shutting log-core down
[18:22:43] [INFO] received Windows console close event; shutting log-core down
[19:05:19] [INFO] received Windows console close event; shutting log-core down
[19:10:38] [INFO] received Windows console close event; shutting log-core down
[19:28:42] [INFO] received Windows console close event; shutting log-core down
[13:22:55] [INFO] received Windows console close event; shutting log-core down
[13:29:02] [INFO] received Windows console close event; shutting log-core down
[13:32:00] [INFO] received Windows console close event; shutting log-core down
[14:24:01] [INFO] received Windows console close event; shutting log-core down
[15:39:31] [INFO] received Windows console close event; shutting log-core down
[15:49:57] [INFO] received Windows console close event; shutting log-core down
[16:41:19] [INFO] received Windows console close event; shutting log-core down
[16:44:16] [INFO] received Windows console close event; shutting log-core down
[16:53:06] [INFO] received Windows console close event; shutting log-core down
[17:12:04] [INFO] received Windows console close event; shutting log-core down
[17:20:08] [INFO] received Windows console close event; shutting log-core down
[17:22:51] [INFO] received Windows console close event; shutting log-core down
[18:34:56] [INFO] received Windows console close event; shutting log-core down
[19:16:12] [INFO] received Windows console close event; shutting log-core down
[19:31:24] [INFO] received Windows console close event; shutting log-core down
[07:54:25] [INFO] received Windows console close event; shutting log-core down
[07:58:57] [INFO] received Windows console close event; shutting log-core down
[08:00:21] [INFO] received Windows console close event; shutting log-core down
[08:02:23] [INFO] received Windows console close event; shutting log-core down
[08:04:34] [INFO] received Windows console close event; shutting log-core down
[08:06:59] [INFO] received Windows console close event; shutting log-core down
[08:09:21] [INFO] received Windows console close event; shutting log-core down
[08:13:31] [INFO] received Windows console close event; shutting log-core down
[08:19:56] [INFO] received Windows console close event; shutting log-core down
[08:25:35] [INFO] received Windows console close event; shutting log-core down
[08:30:13] [INFO] received Windows console close event; shutting log-core down
[09:27:43] [INFO] received Windows console close event; shutting log-core down
[09:37:10] [INFO] received Windows console close event; shutting log-core down
[09:55:46] [INFO] received Windows console close event; shutting log-core down
[10:06:43] [INFO] received Windows console close event; shutting log-core down
[10:49:52] [INFO] received Windows console close event; shutting log-core down
[11:28:24] [INFO] received Windows console close event; shutting log-core down
[11:32:22] [INFO] received Windows console close event; shutting log-core down
[13:09:17] [INFO] received Windows console close event; shutting log-core down
[13:11:06] [INFO] received Windows console close event; shutting log-core down
[13:23:52] [INFO] received Windows console close event; shutting log-core down
[13:32:48] [INFO] received Windows console close event; shutting log-core down
[13:34:40] [INFO] received Windows console close event; shutting log-core down
[13:47:30] [INFO] received Windows console close event; shutting log-core down
[13:51:32] [INFO] received Windows console close event; shutting log-core down
[18:00:39] [INFO] received Windows console close event; shutting log-core down
[18:06:15] [INFO] received Windows console close event; shutting log-core down
[18:47:54] [INFO] received Windows console close event; shutting log-core down
[18:59:57] [INFO] received Windows console close event; shutting log-core down
[18:59:59] [INFO] received Windows console close event; shutting log-core down
[19:34:36] [INFO] received Windows console close event; shutting log-core down
[20:05:58] [INFO] received Windows console close event; shutting log-core down
[05:48:24] [INFO] received Windows console close event; shutting log-core down
[05:51:39] [INFO] received Windows console close event; shutting log-core down
[06:04:01] [INFO] received Windows console close event; shutting log-core down
[06:04:03] [INFO] received Windows console close event; shutting log-core down
[06:06:57] [INFO] received Windows console close event; shutting log-core down
[06:13:38] [INFO] received Windows console close event; shutting log-core down
[08:24:29] [INFO] received Windows console close event; shutting log-core down
[09:53:05] [INFO] received Windows console close event; shutting log-core down
[09:55:03] [INFO] received Windows console close event; shutting log-core down
[09:57:34] [INFO] received Windows console close event; shutting log-core down
[11:33:32] [INFO] received Windows console close event; shutting log-core down
[11:48:21] [INFO] received Windows console close event; shutting log-core down
[11:57:39] [INFO] received Windows console close event; shutting log-core down
[12:23:45] [INFO] received Windows console close event; shutting log-core down
[13:02:32] [INFO] received Windows console close event; shutting log-core down
[13:13:35] [INFO] received Windows console close event; shutting log-core down
[18:24:19] [INFO] received Windows console close event; shutting log-core down
